Name                                            Stmts   Miss  Cover
-------------------------------------------------------------------
app\__init__.py                                    77     12    84%
app\alerts\__init__.py                              3      0   100%
app\alerts\api.py                                  14      1    93%
app\analytics\__init__.py                           3      0   100%
app\analytics\api.py                              120     11    91%
app\analytics\data_issues_api.py                    9      2    78%
app\analytics\reports_api.py                       40      0   100%
app\analytics\routes.py                            19      4    79%
app\auth\__init__.py                                5      0   100%
app\auth\api.py                                    58     42    28%
app\employees\__init__.py                           3      0   100%
app\employees\api.py                               86     19    78%
app\employees\routes.py                            42     25    40%
app\errors.py                                      11      2    82%
app\exit_management\__init__.py                     3      0   100%
app\exit_management\api.py                         42      2    95%
app\exit_management\routes.py                       7      1    86%
app\health\__init__.py                              3      0   100%
app\health\api.py                                  33      8    76%
app\jobs.py                                        95     43    55%
app\main.py                                        25     14    44%
app\ml_models\__init__.py                           3      0   100%
app\ml_models\api.py                              182    112    38%
app\ml_models\routes.py                            15      3    80%
app\ml_models\training.py                          55      4    93%
app\models.py                                      94      6    94%
app\utils\__init__.py                               0      0   100%
app\utils\decorators.py                            60      8    87%
config.py                                          36      4    89%
test_runner.py                                      9      0   100%
tests\integration\__init__.py                       0      0   100%
tests\integration\test_app.py                      20      0   100%
tests\integration\test_auth_e2e.py                 38      8    79%
tests\integration\test_employees_api.py            36      0   100%
tests\integration\test_exit_management_api.py      30      0   100%
tests\unit\__init__.py                              0      0   100%
tests\unit\test_alerts_api.py                      49      0   100%
tests\unit\test_analytics_api.py                   96      0   100%
tests\unit\test_auth.py                            70      7    90%
tests\unit\test_caching.py                         41      1    98%
tests\unit\test_employees_api.py                   88      0   100%
tests\unit\test_exit_management_api.py             72      0   100%
tests\unit\test_frontend.py                        35      4    89%
tests\unit\test_health_api.py                      51      1    98%
tests\unit\test_ml_models_api.py                  104     12    88%
tests\unit\test_models.py                           9      0   100%
tests\unit\test_reports_api.py                     48      1    98%
-------------------------------------------------------------------
TOTAL                                            1939    357    82%
